model,accuracy,precision,recall,f1_macro,roc_auc
Random Forest,0.767797131168558,0.6454793203587995,0.6617315661709254,0.6308675370126253,0.9153277492162947
XGBoost,0.7985957519102008,0.6816740603077788,0.7125113322138492,0.6770965669397758,0.9160315022785491
Tuned LSTM,0.5332750087333594,0.5007576696288331,0.5063055374153772,0.4724679141867772,0.6924712203795161
