,accuracy,precision,recall,f1_macro
Random Forest,0.7615349200963304,0.6399350157855174,0.6503457297850891,0.620503545114303
XGBoost,0.7853267022417076,0.6728623660358207,0.6812480802526569,0.6497243450663502
LSTM,0.5033273913352002,0.5081548072416903,0.5050867680501547,0.4724814347707426
