model,n_subjects,accuracy_mean,accuracy_sd,precision_mean,precision_sd,recall_mean,recall_sd,f1_macro_mean,f1_macro_sd,roc_auc_mean,roc_auc_sd
Random Forest,15,0.767797131168558,0.1187387553712237,0.6454793203587995,0.20769654693369835,0.6617315661709254,0.15540443503474638,0.6308675370126253,0.17728460671815652,0.9153277492162947,0.07218269729731434
XGBoost,15,0.7985957519102008,0.1086656046075164,0.6816740603077788,0.21988095834541502,0.7125113322138492,0.1639364646675594,0.6770965669397758,0.1880604650217181,0.9160315022785491,0.0929498944063003
Tuned LSTM,15,0.5332750087333594,0.11508567832949754,0.5007576696288331,0.12674620548156373,0.5063055374153772,0.0916280151431815,0.4724679141867772,0.13837945169601504,0.6924712203795161,0.07312901654180119
Boost Forest,15,0.8013982133986703,0.10721864677482716,0.7050876175436754,0.21683144263604062,0.7109166403559996,0.16424432329846114,0.6790624601291867,0.1850539166777283,0.9169651963136131,0.07252263055528785
