subject,accuracy,precision,recall,f1_macro,roc_auc
S10,0.7733333333333333,0.5850340136054422,0.6079059829059829,0.5914141414141415,0.6694448434644514
S11,0.9605263157894737,0.9375,0.975,0.9525302283922974,0.9884920634920635
S13,0.8,0.7230769230769231,0.6573426573426574,0.6639291465378422,0.9255255122236256
S14,0.6133333333333333,0.6958473625140291,0.6891025641025642,0.6115726923180339,0.8464852088467426
S15,0.76,0.6895485466914039,0.6276477146042364,0.6419457735247209,0.8698838821559719
S16,0.8356164383561644,0.5490196078431372,0.6666666666666666,0.5952380952380952,0.900728597449909
S17,0.8266666666666667,0.5882352941176471,0.6527777777777778,0.6151300236406619,0.9196144269673682
S2,0.7464788732394366,0.7660377358490565,0.6023391812865497,0.6192104192104192,0.8565866257837712
S3,0.726027397260274,0.8660714285714285,0.5774751564225248,0.5731882898736202,0.7113321319203672
S4,0.5416666666666666,0.18055555555555555,0.3333333333333333,0.23423423423423426,0.8582187148363619
S5,0.8493150684931506,0.901595744680851,0.7138888888888889,0.7051997810618501,0.9509480046365292
S6,0.8904109589041096,0.9145299145299145,0.8547008547008547,0.8713675213675214,0.9818910865198233
S7,0.8767123287671232,0.9281108961960026,0.7692307692307692,0.7847697218422253,0.9678481649069886
S8,0.7567567567567568,0.7999999999999999,0.8283166109253065,0.7545219638242893,0.8975323757726198
S9,0.8194444444444444,0.8633557800224466,0.6626984126984127,0.6284239522191329,0.9501833134186075
