feature,importance,sensor,xgb_importance_pct,rf_importance_pct
Resp_zcr,9.741802406745842,Resp,11.926992645583168,6.46401704848985
ECG_std,7.755836310345445,ECG,7.857186655013691,7.603810793343073
Resp_skew,7.299712295177624,Resp,8.59832510107564,5.3517930863305985
EDA_psd_mean,5.230863879467074,EDA,5.058811961071181,5.488941757060909
EMG_psd_mean,4.880860782486415,EMG,6.641652226799202,2.2396736160172335
ECG_psd_mean,4.726264331810824,ECG,4.105182047697298,5.657887757981109
EDA_std,3.6031769965028833,EDA,3.0835504816656134,4.382616768758787
ECG_skew,3.523901694933,ECG,3.6904008752402433,3.2741529244721344
ECG_kurtosis,3.396467989483085,ECG,2.86107255358521,4.1995611433298965
Temp_max,3.182972580167743,Temp,3.238693585715841,3.0993910718455946
Resp_kurtosis,2.805604433790914,Resp,3.459218658529627,1.8251830966828426
Temp_min,2.689737353404985,Temp,2.480144635143098,3.0041264307978146
EDA_mean,2.627713313606918,EDA,2.1830923046826394,3.294644826993335
Temp_mean,2.5365096803536797,Temp,2.365240866865769,2.793412900585545
EDA_max,2.374797951084332,EDA,1.9537111034417216,3.006428222548245
ECG_peak_freq,2.319817387548921,ECG,3.1749415201213744,1.0371311886902415
ECG_zcr,2.2911187814139833,ECG,1.7943670065696022,3.0362464436805547
Resp_max,2.1994886197261523,Resp,2.0120486967856173,2.480648504136954
Resp_min,1.794945898308856,Resp,1.961876587933098,1.5445498638724924
EMG_zcr,1.7922342318042566,EMG,1.430795767288698,2.3343919285775936
EDA_min,1.7349121788139747,EDA,0.9196758228664276,2.9577667127352947
Resp_std,1.7168960401301023,Resp,1.1790839290060275,2.5236142068162137
Temp_psd_mean,1.7123623574513376,Temp,1.6047588841730605,1.8737675673687528
EMG_min,1.6611947489313457,EMG,1.916303724425121,1.278531285690682
EMG_std,1.5628430052676359,EMG,1.056513834082857,2.3223367620448037
EMG_peak_freq,1.5141054788465798,EMG,1.1956940739707838,1.991722586160273
Temp_std,1.4635647444667772,Temp,1.896728367107134,0.8138193105062412
Temp_skew,1.425228622031874,Temp,1.662384220844922,1.0694952238123017
ECG_max,1.4055841209301343,ECG,1.1127794956194883,1.8447910588961027
EMG_kurtosis,1.3030812949392452,EMG,1.2197453326097067,1.4280852384335523
Resp_psd_mean,1.1764026452841632,Resp,0.7811232471254161,1.7693217425222827
EDA_kurtosis,1.154742246255094,EDA,1.0876374821021615,1.255399392484492
EMG_max,1.085021760540778,EMG,1.043781110369135,1.1468827357982416
ECG_min,0.8672649621265426,ECG,0.5825537546655292,1.2943317733180622
EMG_skew,0.859379568153832,EMG,0.6681412916176921,1.1462369829580417
ECG_mean,0.7473927679935337,ECG,0.9706786454582956,0.4124639517963906
Temp_kurtosis,0.5052136846671226,Temp,0.36218716377939664,0.7197534659987112
Temp_peak_freq,0.49460523102163434,Temp,0.4938000550939965,0.4958129949130908
EDA_skew,0.3217504352209717,EDA,0.15219182984698545,0.5760883432819509
Resp_mean,0.23446155070869942,Resp,0.1012214521709252,0.4343216985153607
EMG_mean,0.19522139455905807,EMG,0.11571100225660307,0.3144869830127405
EDA_peak_freq,0.08316693593238014,EDA,0.0,0.20791733983095032
Temp_zcr,0.001777307564258302,Temp,0.0,0.004443268910645755
EDA_zcr,0.0,EDA,0.0,0.0
Resp_peak_freq,0.0,Resp,0.0,0.0
