subject,accuracy,precision,recall,f1_macro
S10,0.52,0.17333333333333334,0.3333333333333333,0.2280701754385965
S11,0.17105263157894737,0.05701754385964913,0.3333333333333333,0.09737827715355805
S13,0.17333333333333334,0.05777777777777778,0.3333333333333333,0.0984848484848485
S14,0.5333333333333333,0.17777777777777778,0.3333333333333333,0.2318840579710145
S15,0.30666666666666664,0.10222222222222221,0.3333333333333333,0.1564625850340136
S16,0.5342465753424658,0.17808219178082194,0.3333333333333333,0.23214285714285712
S17,0.16,0.05333333333333334,0.3333333333333333,0.09195402298850575
S2,0.29577464788732394,0.09859154929577464,0.3333333333333333,0.15217391304347824
S3,0.1780821917808219,0.0593607305936073,0.3333333333333333,0.10077519379844961
S4,0.16666666666666666,0.05555555555555555,0.3333333333333333,0.09523809523809523
S5,0.1643835616438356,0.0547945205479452,0.3333333333333333,0.09411764705882353
S6,0.5342465753424658,0.17808219178082194,0.3333333333333333,0.23214285714285712
S7,0.2876712328767123,0.0958904109589041,0.3333333333333333,0.14893617021276595
S8,0.16216216216216217,0.05405405405405406,0.3333333333333333,0.09302325581395349
S9,0.5416666666666666,0.18055555555555555,0.3333333333333333,0.23423423423423426
