request_number,latency_ms
1,18.596600000000187
2,17.645300000000084
3,16.412700000000058
4,16.73089999999999
5,15.647100000000025
6,16.351400000000016
7,15.640499999999946
8,15.694700000000061
9,16.35989999999987
10,16.449399999999947
11,15.517800000000026
12,16.33489999999993
13,16.698799999999903
14,17.2485
15,17.46110000000001
16,16.42100000000002
17,16.43170000000005
18,16.046900000000086
19,17.460299999999982
20,17.67859999999999
21,16.594300000000175
22,17.070000000000142
23,17.291500000000013
24,17.755500000000033
25,17.45529999999995
26,19.773899999999898
27,19.119600000000013
28,18.002000000000073
29,17.37159999999993
30,17.807300000000083
31,17.457799999999857
32,17.76769999999983
33,17.669600000000063
34,18.59220000000006
35,18.028000000000155
36,18.685800000000086
37,18.102800000000308
38,18.35129999999996
39,18.66469999999998
40,18.979999999999997
41,17.812499999999787
42,17.421800000000154
43,18.597299999999706
44,17.718700000000087
45,17.46010000000009
46,17.635100000000126
47,17.1686000000002
48,17.45709999999967
49,16.96629999999999
50,17.45080000000021
51,17.608000000000068
52,17.995899999999843
53,16.707999999999945
54,15.859499999999915
55,16.21560000000022
56,15.350399999999986
57,16.76460000000013
58,16.94009999999979
59,15.7980000000002
60,15.865699999999983
61,16.255099999999967
62,16.054500000000083
63,15.834900000000207
64,15.1813999999999
65,15.413300000000074
66,15.762800000000077
67,15.529499999999974
68,15.77839999999986
69,15.585999999999878
70,15.590100000000273
71,15.314599999999956
72,16.165299999999938
73,39.57789999999983
74,16.606400000000132
75,15.707600000000266
76,16.944200000000187
77,16.58959999999965
78,15.590199999999665
79,15.984200000000115
80,15.939899999999785
81,16.129999999999978
82,15.294099999999755
83,16.29259999999988
84,15.028299999999994
85,15.198999999999963
86,15.906799999999777
87,16.709699999999827
88,15.902799999999662
89,16.121900000000355
90,16.290499999999764
91,15.720200000000073
92,15.772999999999815
93,15.822800000000026
94,16.28620000000014
95,15.665800000000285
96,15.650200000000059
97,16.195199999999854
98,15.492300000000014
99,15.308899999999959
100,15.684300000000206
