,mean_ms,median_ms,p95_ms,min_ms,max_ms
Random Forest,27.277085999999994,27.131899999998765,29.036369999999856,25.948700000000713,29.959399999999192
XGBoost,0.6659410000002097,0.6464000000008241,0.8240549999980473,0.6236000000008346,0.9379000000002691
LSTM,126.95777299999985,126.80130000000034,132.51232500000006,122.91100000000199,133.59230000000366
