,LSTM_original,LSTM_tuned,improvement
accuracy,0.5033273913352002,0.5332750087333594,0.02994761739815921
precision,0.5081548072416903,0.5007576696288331,-0.0073971376128572075
recall,0.5050867680501547,0.5063055374153772,0.0012187693652224718
f1_macro,0.4724814347707426,0.4724679141867772,-1.3520583965420663e-05
